first,second,first_top1,second_top1,weaker_top1,best_solo_top1,mean_solo_top1,pair_top1,gain_over_best,gain_over_mean,relative_error_reduction_over_best,score_correlation,margin_correlation,correctness_correlation,prediction_disagreement,double_fault,wrong_winner_agreement,oracle_top1,oracle_headroom_over_best,oracle_headroom_realized
iv33_group_e75,sqf_bigg,35.65,34.1,34.1,35.65,34.875,40.0,4.350000000000001,5.125,0.06759906759906763,0.8653664762529982,0.6009573061578906,0.4093062290795546,0.6435,0.517,0.2746615087040619,48.3,12.649999999999999,0.3438735177865614
iv33_group_e75,sqf_vith,35.65,30.7,30.7,35.65,33.175,38.550000000000004,2.9000000000000057,5.375000000000007,0.04506604506604516,0.848298692413769,0.5645418868012485,0.37141766526295905,0.676,0.528,0.2509469696969697,47.199999999999996,11.549999999999997,0.25108225108225163
iv33_group_e75,multi_eva,35.65,30.4,30.4,35.65,33.025,38.35,2.700000000000003,5.325000000000003,0.04195804195804201,0.8559116696782271,0.5667825218103327,0.36594758603331273,0.6685,0.5285,0.2696310312204352,47.15,11.5,0.23478260869565243
iv33_group_e75,multi_vith,35.65,28.449999999999996,28.449999999999996,35.65,32.05,37.3,1.6499999999999986,5.25,0.025641025641025623,0.8398062735244131,0.543811314585663,0.3381608171144627,0.704,0.5335,0.22774133083411435,46.650000000000006,11.000000000000007,0.14999999999999977
iv33_group_e75,encv3_multiscale_sqf,35.65,34.9,34.9,35.65,35.275,40.400000000000006,4.750000000000007,5.125000000000007,0.07381507381507393,0.8857519217095909,0.6385842987976081,0.444946065752172,0.612,0.5205,0.3112391930835735,47.949999999999996,12.299999999999997,0.38617886178861854
iv33_group_e75,encv3_multiscale_bissm,35.65,29.5,29.5,35.65,32.575,38.7,3.0500000000000043,6.125,0.04739704739704747,0.8730529867192977,0.6101567493998109,0.37006362759285377,0.673,0.5345,0.2637979420018709,46.550000000000004,10.900000000000006,0.27981651376146816
iv33_group_e75,encv3_ranked_perceiver,35.65,33.050000000000004,33.050000000000004,35.65,34.35,39.6,3.950000000000003,5.25,0.06138306138306143,0.8776575521826079,0.6035205076754926,0.4180022637330139,0.6405,0.525,0.28095238095238095,47.5,11.850000000000001,0.33333333333333354
iv33_group_e75,dimfrozen_fd32,35.65,32.85,32.85,35.65,34.25,39.15,3.5,4.899999999999999,0.05439005439005439,0.8958053487010316,0.6567176139408927,0.45960288591434495,0.602,0.5355,0.3314659197012138,46.45,10.800000000000004,0.32407407407407396
iv33_group_e75,dimfrozen_fd64,35.65,33.45,33.45,35.65,34.55,39.300000000000004,3.6500000000000057,4.750000000000007,0.05672105672105682,0.8959447254520975,0.6629892539554809,0.4303450636008958,0.611,0.5255,0.32825880114176975,47.449999999999996,11.799999999999997,0.30932203389830565
iv33_group_e75,dimfrozen_fd128,35.65,35.15,35.15,35.65,35.4,39.1,3.450000000000003,3.700000000000003,0.053613053613053664,0.8949306886957497,0.6628974826246604,0.455622730599587,0.598,0.5215,0.3307766059443912,47.85,12.200000000000003,0.2827868852459018
iv33_group_e75,dimfrozen_fd256,35.65,34.65,34.65,35.65,35.15,39.050000000000004,3.4000000000000057,3.9000000000000057,0.05283605283605293,0.8933835623175307,0.6643603528436867,0.4605726199637369,0.602,0.5255,0.3225499524262607,47.449999999999996,11.799999999999997,0.28813559322033955
iv33_group_e75,dimfrozen_fd512,35.65,34.599999999999994,34.599999999999994,35.65,35.125,39.4,3.75,4.274999999999999,0.05827505827505828,0.8911784789636625,0.660067064056721,0.46151140825745857,0.6,0.526,0.32604562737642584,47.4,11.75,0.3191489361702128
iv33_group_e75,dimfrozen_fd1024,35.65,34.699999999999996,34.699999999999996,35.65,35.175,38.800000000000004,3.1500000000000057,3.625000000000007,0.04895104895104904,0.8920764446326686,0.6640071671077128,0.47060018060798636,0.5875,0.5275,0.34407582938388626,47.25,11.600000000000001,0.2715517241379315
iv33_group_e75,atm_iv_seed3301,35.65,34.4,34.4,35.65,35.025,42.6,6.950000000000003,7.575000000000003,0.10800310800310806,0.8103280840119486,0.5061306246355838,0.32024165774499325,0.703,0.495,0.20505050505050504,50.5,14.850000000000001,0.46801346801346816
iv33_group_e75,iv33_group_e75_seed3301,35.65,37.1,35.65,37.1,36.375,37.7,0.6000000000000014,1.3250000000000028,0.009538950715421327,0.9611245801259803,0.8280058115566711,0.6450071888534127,0.4255,0.554,0.5288808664259927,44.6,7.5,0.0800000000000002
iv33_group_e75,tsconv_bigg_seed3301,35.65,32.15,32.15,35.65,33.9,38.25,2.6000000000000014,4.350000000000001,0.04040404040404043,0.8798900255751319,0.6267675450495906,0.3861625352776936,0.6415,0.523,0.3011472275334608,47.699999999999996,12.049999999999997,0.21576763485477196
iv33_group_e75,p3300,35.65,35.05,35.05,35.65,35.349999999999994,41.0,5.350000000000001,5.650000000000006,0.08313908313908316,0.8645120030592591,0.6424169869957502,0.4049706419536918,0.6235,0.5105,0.31145935357492655,48.949999999999996,13.299999999999997,0.40225563909774453
iv33_group_e75,p3301,35.65,34.849999999999994,34.849999999999994,35.65,35.25,40.050000000000004,4.400000000000006,4.800000000000004,0.06837606837606847,0.8631537620123423,0.6480079118533613,0.4173945686036675,0.613,0.5145,0.32555879494655005,48.55,12.899999999999999,0.34108527131782995
iv33_group_e75,p3302,35.65,34.599999999999994,34.599999999999994,35.65,35.125,40.45,4.800000000000004,5.325000000000003,0.07459207459207466,0.8671451623646445,0.6417820600398817,0.42420461164888223,0.615,0.5175,0.3188405797101449,48.25,12.600000000000001,0.38095238095238126
